norm,k_graph,alpha,conf_threshold,mean_macro_f1,mean_acc,mean_conf_assigned,pct_assigned
standard,10,0.3,0.5,0.12020023288239184,0.2088342753981388,0.8809297046218872,0.9302432384871322
standard,10,0.3,0.6,0.12020023288239184,0.2088342753981388,0.9217303465533236,0.8282535160108916
standard,10,0.3,0.7,0.12020023288239184,0.2088342753981388,0.9452819191202538,0.7635668646572803
standard,10,0.3,0.8,0.12020023288239184,0.2088342753981388,0.9658356130534611,0.6926593718425792
standard,10,0.5,0.5,0.12418295863414873,0.2111962432031636,0.8664564177988417,0.9188574035051955
standard,10,0.5,0.6,0.12418295863414873,0.2111962432031636,0.9080545332027773,0.8125809196051598
standard,10,0.5,0.7,0.12418295863414873,0.2111962432031636,0.9353685688862786,0.7361780635308643
standard,10,0.5,0.8,0.12418295863414873,0.2111962432031636,0.9591403138828315,0.6552375887484119
standard,10,0.7,0.5,0.12514988439389457,0.21353188334157192,0.8527842321812645,0.9045837110407406
standard,10,0.7,0.6,0.12514988439389457,0.21353188334157192,0.8978336922851803,0.7875089355013479
standard,10,0.7,0.7,0.12514988439389457,0.21353188334157192,0.9271077193195061,0.705896425878731
standard,10,0.7,0.8,0.12514988439389457,0.21353188334157192,0.9532674514389169,0.6173815021247171
standard,15,0.1,0.5,0.15407864313933245,0.2701137999957016,0.9005343240280412,0.9509525040257248
standard,15,0.1,0.6,0.15407864313933245,0.2701137999957016,0.9303204534310422,0.8759278296673899
standard,15,0.1,0.7,0.15407864313933245,0.2701137999957016,0.9541642224884826,0.8077222304192254
standard,15,0.1,0.8,0.15407864313933245,0.2701137999957016,0.9732846376420548,0.7385863480957537
standard,15,0.2,0.5,0.15471184605525468,0.2701137999957016,0.8888675304122211,0.9456671423136744
standard,15,0.2,0.6,0.15471184605525468,0.2701137999957016,0.9210347078495212,0.8629864762595295
standard,15,0.2,0.7,0.15471184605525468,0.2701137999957016,0.9459540113104331,0.7904345612075797
standard,15,0.2,0.8,0.15471184605525468,0.2701137999957016,0.9663581026323055,0.7158795700168029
standard,15,0.3,0.5,0.15517879100316845,0.2701137999957016,0.8790677655584171,0.9398445332339468
standard,15,0.3,0.6,0.15517879100316845,0.2701137999957016,0.9130219610022642,0.8515375289095534
standard,15,0.3,0.7,0.15517879100316845,0.2701137999957016,0.9391084978198819,0.7745879602782247
standard,15,0.3,0.8,0.15517879100316845,0.2701137999957016,0.961356854387077,0.6930180557537758
standard,15,0.5,0.5,0.15589915340919833,0.2701137999957016,0.8631160283414466,0.9247900040628442
standard,15,0.5,0.6,0.15589915340919833,0.2701137999957016,0.899165798302833,0.8289587770679206
standard,15,0.5,0.7,0.15589915340919833,0.2701137999957016,0.9283352200225612,0.7415248834827214
standard,15,0.5,0.8,0.15589915340919833,0.2701137999957016,0.9548436636395478,0.6457702819633698
standard,15,0.7,0.5,0.1613175403861714,0.2749967762040878,0.8497246420956829,0.9059832393474538
standard,15,0.7,0.6,0.1613175403861714,0.2749967762040878,0.8870586203712141,0.8047893652937637
standard,15,0.7,0.7,0.1613175403861714,0.2749967762040878,0.9211150251983381,0.7038056160848347
standard,15,0.7,0.8,0.1613175403861714,0.2749967762040878,0.9494080178949722,0.6029801912035642
standard,20,0.1,0.5,0.14659726271073625,0.2779675041372047,0.8854489922888393,0.9318367405299558
standard,20,0.1,0.6,0.14659726271073625,0.2779675041372047,0.9207690091971662,0.8428417652121915
standard,20,0.1,0.7,0.14659726271073625,0.2779675041372047,0.9514235240036725,0.7576795345334494
standard,20,0.1,0.8,0.14659726271073625,0.2779675041372047,0.9718220162061743,0.6885205904260383
standard,20,0.2,0.5,0.14651495171147025,0.2779675041372047,0.8745767266883336,0.9245828883024837
standard,20,0.2,0.6,0.14651495171147025,0.2779675041372047,0.9119111607928879,0.8289713963314234
standard,20,0.2,0.7,0.14651495171147025,0.2779675041372047,0.943384302026114,0.739866782647296
standard,20,0.2,0.8,0.14651495171147025,0.2779675041372047,0.9642325652394756,0.6678159618112648
standard,20,0.3,0.5,0.14694632426048984,0.2779675041372047,0.865581465622332,0.9163859489362892
standard,20,0.3,0.6,0.14694632426048984,0.2779675041372047,0.9040265247360509,0.8167086351815439
